#{"t_start": 1739269229.2002845, "env_id": "None"}
r,l,t
-38.033885,100,36.998111
85.147989,35,49.970062
-41.484786,100,53.888772
-49.381314,100,55.730575
77.05872,39,56.454624
-38.915089,100,58.245888
-46.980757,100,60.093088
78.115792,59,61.218043
79.200092,53,62.254148
78.134997,46,63.125406
-59.47137,100,64.930569
66.84815,76,66.383132
-47.277726,100,68.210142
-45.671301,100,70.12432
-54.706156,100,72.014375
-36.654998,100,73.844908
58.506416,90,75.548901
-39.356275,100,77.369102
-42.134752,100,79.183787
-43.834551,100,80.992049
74.119749,60,82.184038
88.12324,18,82.553701
82.403275,33,83.210084
63.196726,90,84.921062
54.142839,86,92.043886
86.854139,18,92.405601
81.45431,27,92.9376
-37.598254,100,95.007365
79.408206,36,95.714607
80.832815,37,96.465677
86.268993,24,96.944616
76.160155,53,97.959516
-50.246816,100,99.927173
-33.110774,100,101.752213
78.00701,45,102.626641
76.38603,35,103.324687
84.731134,38,104.047211
-46.219238,100,105.950037
83.879914,23,106.400361
-64.677518,100,108.256175
-57.342814,100,110.144615
84.38395,16,110.465101
-65.220674,100,112.322382
86.877561,24,112.825655
77.475755,48,113.752225
-53.163386,100,115.651495
-41.534486,100,117.590876
78.487836,51,118.608235
-62.814296,100,120.486835
87.187314,23,120.956883
90.474577,20,121.361146
83.028662,31,121.973736
-46.775879,100,123.819936
79.350357,27,124.347057
65.502021,90,126.067078
-43.189307,100,127.96815
78.280711,33,128.61105
72.413759,81,130.176591
-43.470677,100,132.073782
65.721306,71,133.541645
-47.736128,100,135.377631
-44.734255,100,137.269032
81.789294,41,138.056685
73.200209,65,139.308645
83.999427,29,139.893317
-37.304269,100,141.794091
-56.002325,100,143.643885
57.39594,88,145.337697
91.108171,18,145.693757
-45.829222,100,147.626606
89.453087,22,148.058421
82.293446,18,148.416227
-40.82809,100,150.319101
-72.43559,100,152.16709
-73.577748,100,154.043689
-60.20192,100,155.92336
63.864691,63,157.093802
80.96794,31,157.673103
-52.385229,100,159.544177
72.932182,42,160.325326
74.723317,48,161.266606
76.888774,54,162.280971
74.335501,57,163.365654
-74.68379,100,165.188384
81.995572,41,165.975554
-66.32308,100,167.794611
75.010582,48,168.57599
86.306325,27,169.036206
88.792329,21,169.404032
78.033499,59,170.389706
88.099696,25,170.817269
62.739,88,172.427425
59.583716,100,174.129641
80.322624,25,174.557805
-36.930979,100,176.207994
-44.07467,100,177.846978
82.509346,25,178.268098
84.231971,35,178.867653
-69.779681,100,180.456548
73.630303,65,181.753217
75.923168,60,182.765841
-57.629478,100,184.331534
84.846685,39,185.047356
-45.457569,100,186.690427
-42.692823,100,188.264059
69.279064,70,189.390588
71.422497,66,190.487759
62.478623,87,191.946605
84.551374,27,192.445765
88.951591,22,192.836003
86.255474,27,193.294605
-46.851663,100,194.898199
73.380777,45,195.666342
-57.454214,100,197.279948
-44.622167,100,198.817014
-43.533671,100,200.453089
86.189555,38,201.081054
84.852581,20,201.41242
-55.524148,100,203.024971
70.252601,86,204.443969
-55.440765,100,206.091318
79.479993,43,206.799021
-43.815465,100,208.429866
77.29197,64,209.460716
81.169139,25,209.878804
85.388512,19,210.212986
92.051211,14,210.45379
78.919173,48,211.236045
91.104471,17,211.535982
72.796161,67,212.6358
-50.064006,100,214.253085
-60.701273,100,215.844923
-39.264185,100,217.416763
-48.772391,100,218.954947
-46.325817,100,220.528149
60.701935,90,222.012747
-40.469994,100,223.548419
86.63762,36,224.162785
-57.423608,100,225.706943
-44.494322,100,227.252897
81.511941,22,227.638913
-51.511833,100,229.250281
93.804403,15,229.520902
82.913271,46,230.281557
-47.716904,100,231.863986
-59.45022,100,233.401591
75.246024,47,234.191428
88.748148,16,234.470837
-70.492484,100,236.030215
-59.204563,100,237.605382
86.019211,15,237.949859
-64.722167,100,239.517129
88.251925,27,239.987074
62.295586,77,241.275501
85.079343,23,241.657895
-50.570577,100,243.262869
77.478765,56,244.200703
-41.341251,100,245.751066
83.91591,29,246.234678
86.882491,31,246.746013
-36.313964,100,248.386469
78.626833,25,248.808992
75.625959,63,249.841972
-68.467319,100,251.401466
86.644127,24,251.814487
64.526231,79,253.116506
86.309793,25,253.537476
86.268425,36,254.128778
-38.027755,100,255.786079
-61.459771,100,257.376999
70.955514,85,258.754989
-48.451174,100,260.335216
75.578555,30,260.824231
81.232212,26,261.260908
-67.200505,100,262.919717
80.463532,36,263.518765
-36.83247,100,265.082728
-70.52119,100,266.664112
-46.172146,100,268.228975
-41.373016,100,269.847152
90.061155,21,270.210315
84.693136,18,270.511541
-48.237374,100,272.174389
86.862574,32,272.717364
88.834821,19,273.046943
-78.181554,100,274.593076
-54.092131,100,276.16613
-54.002157,100,277.735998
92.283175,17,278.115442
87.21947,22,278.525738
87.176596,30,279.127699
-58.213524,100,280.958332
83.497761,22,281.365884
-48.844159,100,283.047927
-36.756501,100,284.628215
-42.179326,100,286.240602
85.862618,28,286.788922
-37.669719,100,288.46803
83.815002,19,288.793427
88.163382,20,289.146619
87.789744,30,289.662389
-40.289385,100,291.238875
86.816378,31,291.77079
-59.674633,100,293.369908
73.573498,59,294.333618
86.653927,31,294.854504
82.398242,41,295.534925
-69.569471,100,297.112722
86.82162,17,297.450778
-46.205207,100,299.103814
84.696352,23,299.507662
-43.180341,100,301.143394
68.658161,97,302.671416
88.399644,19,303.003159
84.372087,32,303.524446
-39.967387,100,305.249433
-46.905459,100,306.892858
-40.243648,100,308.516564
-37.879181,100,310.188047
-59.763325,100,311.757599
68.369861,88,313.22166
66.31254,71,314.403385
74.631307,68,315.530069
67.07089,79,316.831365
-51.035375,100,318.447652
90.649977,23,318.839863
96.114591,6,318.996338
77.893809,30,319.504816
-46.713739,100,321.164449
84.290347,40,321.854458
83.179928,25,322.273543
90.83398,16,322.557281
-70.319599,100,324.133484
-47.02366,100,325.747868
82.586112,30,326.246802
-48.645871,100,327.874046
