#{"t_start": 1742817150.9534037, "env_id": "None"}
r,l,t
-137.194375,456,15.265268
-116.070476,218,19.080544
-112.109695,237,23.231563
-107.622941,122,25.364277
-172.222876,581,29.248393
-173.889787,703,33.364909
-148.486067,574,36.247876
-156.707162,459,38.761816
-140.436731,351,40.740995
-146.925355,635,44.719529
-154.9282,670,48.423373
-164.372465,613,51.854665
-130.588859,306,53.704049
-127.640734,285,55.877408
-177.878186,608,59.291383
-124.133225,273,60.93127
-120.015862,193,62.123147
-142.869336,482,64.935393
-176.611274,744,72.123208
-138.286361,423,79.273194
-122.717575,275,83.962041
-183.734913,734,96.743515
-115.027408,183,100.486503
-188.972693,670,111.947647
-159.979036,510,119.941308
-130.592678,283,125.21777
-139.947254,335,130.960181
-126.084106,336,135.647782
-142.660048,337,137.975145
-144.117478,418,140.253613
-113.920737,165,141.305311
-191.150755,713,144.891232
-176.818151,630,148.66081
-2.434738,115,149.395656
-133.76999,268,150.846308
-136.362295,265,152.359171
-182.663551,744,156.50121
-98.052796,1000,162.257148
-116.432707,168,163.159817
-121.511357,220,164.422356
-197.449999,818,168.583507
-195.902431,804,173.342542
-204.788533,967,178.66624
-171.974685,645,182.444009
-157.021151,528,185.300579
-171.832121,571,188.451972
-100.163925,1000,194.246
-136.2885,331,195.981227
-139.608696,460,198.713711
-209.173643,901,203.92729
-165.835306,619,207.679756
-184.252691,788,211.977119
-198.93778,846,216.62211
-124.962084,1000,222.514954
-102.689592,32,222.694823
-144.227387,420,224.973639
-149.204111,432,227.376956
-197.644203,779,232.015125
-223.651525,864,236.883329
-152.224495,482,239.535912
-234.328554,987,245.414852
-137.230483,1000,250.731898
-112.244752,1000,256.243803
-126.581205,210,257.339847
-128.4149,286,258.964481
-177.420145,889,264.24405
-211.514994,872,269.109307
-131.09509,1000,274.585015
-183.630901,784,280.207132
-207.914701,792,285.173937
-141.934816,1000,291.093081
-116.340703,1000,296.367109
-217.278555,719,300.620868
-198.193176,643,304.426317
-106.731493,1000,309.993742
-147.844268,403,312.570466
-109.743884,1000,318.176797
-108.526014,56,318.478533
-120.578924,1000,324.440297
-102.681714,21,324.554879
-113.370355,1000,329.929876
-119.764885,230,331.268825
-128.516206,1000,337.025343
-139.608859,405,339.163428
-108.908425,153,340.257007
-143.7111,404,342.90782
-159.178153,676,346.9052
-126.181124,1000,352.615236
-123.668314,206,353.690733
-126.377862,1000,359.538918
-110.949689,87,359.980818
-180.033922,772,364.135993
-218.240183,885,369.014032
-170.770111,609,372.81388
-166.175997,659,376.417162
-195.490614,774,380.550563
-202.339507,775,385.259563
-131.411759,1000,390.756088
-137.248634,293,392.343686
-163.096007,510,395.541992
-116.543229,171,396.645587
-118.920179,1000,402.246335
-103.74536,30,402.436599
-227.654137,906,407.726127
-170.228201,717,412.02213
-165.501747,623,415.59811
-196.993371,822,420.629538
-108.566789,123,421.43921
-186.46803,761,425.754887
-199.046019,890,431.466798
-184.96515,757,435.738392
-205.613141,826,440.355923
-174.058306,696,444.571623
-187.561134,733,448.662358
-159.691471,1000,454.393191
-180.941281,724,458.343771
-121.195979,1000,463.852622
-106.36937,85,464.353644
-137.114083,1000,470.270873
-110.192538,126,471.01639
-140.671909,1000,476.695519
-110.822724,82,477.662331
-120.47238,1000,488.511189
-123.000345,149,490.936215
-116.603652,1000,501.43387
-167.905965,471,504.805219
-121.040837,1000,513.238665
-140.33857,315,515.944094
-156.480172,1000,523.665075
-113.531577,169,524.617403
